番号,追加日,モチーフ名,実機体数,機体名,縦(m),横(m),奥行(m),総尺(s),機体数(切上げ),季節,カテゴリー,人気,備考,,,,,,,,,,,
224,2025-05-28,ほうとうの麺,628,EMO,105,115,95,40,700,none,food,,,,,,,,,,,,,
225,2025-05-28,sleep,500,EMO,103,96,8,20,500,winter,character,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,
227,2025-05-28,球,488,EMO,100,100,100,20,500,none,symbol,,,,,,,,,,,,,
228,2025-05-28,ソリ,500,EMO,116,120,118,30,500,winter,character,,,,,,,,,,,,,
229,2025-05-28,pyramid,365,EMO,50,132,10,15,400,none,building,,,,,,,,,,,,,
230,2025-05-28,自由の女神,334,EMO,100,60,10,10,400,none,building,,,,,,,,,,,,,
231,,,,EMO,,,,,,,,,,,,,,,,,,,,
232,,,,EMO,,,,,,,,,,,,,,,,,,,,
233,2025-06-10,パンケーキ,300,EMO,67,85,4,15,300,none,food,,,,,,,,,,,,,
234,2025-06-10,鯛焼,300,EMO,66,111,2,15,300,none,food,,,,,,,,,,,,,
235,2025-06-05,七夕,100,EMO,45,48,15,20,100,summer,plant,,,,,,,,,,,,,
236,2025-06-05,七夕,300,EMO,74,85,15,20,300,summer,plant,,,,,,,,,,,,,
237,2025-06-05,夏祭り,300,EMO,88,86,10,20,300,summer,object,,,,,,,,,,,,,
238,2025-06-05,ダイヤモンドダスト,300,EMO,82,88,14,20,300,winter,nature,,,,,,,,,,,,,
239,2025-06-05,冬の家,300,EMO,74,85,15,20,300,winter,building,,,,,,,,,,,,,
240,2025-06-10,あけおめ,428,EMO,146,50,6,10,500,winter,text,,,,,,,,,,,,,
241,2025-06-10,HappyBirthday,400,EMO,60,141,4,15,400,winter,text,,,,,,,,,,,,,
242,2025-06-10,青鳥,200,EMO,113,123,11,15,200,none,animal,,,,,,,,,,,,,
243,2025-06-10,野球,300,EMO,98,140,4,10,300,none,object,,,,,,,,,,,,,
244,2025-06-10,地蔵,200,EMO,137,75,2,10,200,none,building,,,,,,,,,,,,,
245,2025-06-10,気球,500,EMO,122,160,78,20,500,none,vehicle,,,,,,,,,,,,,
246,2025-06-10,カウントダウン,200,EMO,49,33,1,7.5,200,none,text,,,,,,,,,,,,,
247,2025-06-10,鯉,500,EMO,81,137,83,30,500,none,animal,,,,,,,,,,,,,
248,2025-06-10,パラボラアンテナ,500,EMO,110,155,68,30,500,none,object,,,,,,,,,,,,,
249,2025-06-26,ひまわり,200,EMO,107,82,10,20,200,summer,plant,,,,,,,,,,,,,
250,2025-07-08,ビール,200,EMO,86,133,18,20,200,summer,food,,,,,,,,,,,,,
251,2025-07-22,パイナップル,300,EMO,,,,20,300,summer,food,,,,,,,,,,,,,
252,2025-07-22,麦わら帽子,300,EMO,,,,20,300,summer,symbol,,,,,,,,,,,,,
253,2025-10-16,ティラノサウルス,,,,,,,,none,animal,,,,,,,,,,,,,
254,2025-10-16,トリケラトプス,,,,,,,,none,animal,,,,,,,,,,,,,
255,2025/10/16,ウサギ,,,,,,,,none,animal,,,,,,,,,,,,,
256,2025/12/26,門松,300,EMO,115,80,20,20,300,winter,plant,,,,,,,,,,,,,
257,2025/12/26,ハロウィン,300,EMO,,,,20,300,autumn,text,,,,,,,,,,,,,
258,2025/12/26,鏡餅,300,EMO,125,110,,20,300,winter,text,,,,,,,,,,,,,
259,2025/12/26,happynewyear,300,EMO,125,125,30,20,300,winter,object,,,,,,,,,,,,,
260,2025/12/26,獅子舞,300,EMO,100,100,,20,300,autumn,animal,,,,,,,,,,,,,
261,2025-12-26,月見,300,EMO,115,140,15,20,300,autumn,object,,,,,,,,,,,,,
262,2026-01-27,ヨット,200,EMO,114,76,7,20,200,summer,vehicle,,,,,,,,,,,,,
263,2026-01-27,ヨット＆花火,500,EMO,121,124,16,20,500,summer,vehicle,,,,,,,,,,,,,
264,2026-01-27,花火,100,EMO,67,33,1,20,100,summer,nature,,,,,,,,,,,,,
265,2026-01-27,花火,200,EMO,90,46,5,20,200,summer,nature,,,,,,,,,,,,,
266,2026-01-27,汽車,300,EMO,80,100,5,30,300,none,vehicle,,,,,,,,,,,,,
